rule,normalized_support,coverage,h_value,ch_value,oh_value,normalized_normalized_support
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5,1.0,0.4586466165413533,0.4552238805970149,0.2087868926046459,0.4552238805970149,0.016666666666666666
thalachcp >= 110.0 & comcp < 1.5,1.0,0.4812030075187969,0.460431654676259,0.221561096987072,0.460431654676259,0.016666666666666666
agecp >= 37.5 & comcp < 1.5,1.0,0.4586466165413533,0.4178082191780822,0.1916263260891955,0.4178082191780822,0.016666666666666666
agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3834586466165413,0.6538461538461539,0.250722961249277,0.6538461538461539,0.016666666666666666
comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.4060150375939849,0.6666666666666666,0.2706766917293233,0.6666666666666666,0.016666666666666666
comcp < 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.4812030075187969,0.5,0.2406015037593984,0.5,0.016666666666666666
thalcp >= 1.5 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3909774436090225,0.7123287671232876,0.2785044803790297,0.7123287671232876,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3684210526315789,0.7424242424242424,0.2735247208931419,0.7424242424242424,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3909774436090225,0.7536231884057971,0.2946496676473793,0.7536231884057971,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.7205882352941176,0.2654798761609906,0.7205882352941176,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5,1.0,0.3909774436090225,0.7323943661971831,0.286349677009425,0.7323943661971831,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3684210526315789,0.6712328767123288,0.247296322999279,0.6712328767123288,0.016666666666666666
thalcp >= 1.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3909774436090225,0.6842105263157895,0.2675108824693312,0.6842105263157895,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3834586466165413,0.7083333333333334,0.2716165413533835,0.7083333333333334,0.016666666666666666
thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.4060150375939849,0.72,0.2923308270676691,0.72,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3834586466165413,0.6710526315789473,0.2573209339137317,0.6710526315789473,0.016666666666666666
thalachcp >= 110.0 & comcp < 1.5 & thalcp < 2.5,1.0,0.4060150375939849,0.6835443037974683,0.2775292662034834,0.6835443037974683,0.016666666666666666
agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5,1.0,0.3834586466165413,0.6144578313253012,0.235619168402935,0.6144578313253012,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9473684210526316,0.5727272727272728,0.5425837320574163,0.5727272727272728,0.016666666666666666
thalachcp >= 110.0,1.0,0.9924812030075189,0.5789473684210527,0.5745943806885635,0.5789473684210527,0.016666666666666666
agecp >= 37.5,1.0,0.9548872180451128,0.5427350427350427,0.5182507550928603,0.5427350427350427,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5 & comcp < 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.3684210526315789,0.7,0.2578947368421052,0.7,0.016666666666666666
agecp >= 37.5 & comcp < 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.4586466165413533,0.4959349593495935,0.2274588911302646,0.4959349593495935,0.016666666666666666
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6225490196078431,0.5944641014300457,0.6225490196078431,0.016666666666666666
thalcp >= 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7894736842105263,0.8015267175572519,0.6327842507030936,0.8015267175572519,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7518796992481203,0.7936507936507936,0.5967299200381907,0.7936507936507936,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7443609022556391,0.8181818181818182,0.6090225563909775,0.8181818181818182,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6596858638743456,0.62496555524938,0.6596858638743456,0.016666666666666666
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9849624060150376,0.6616161616161617,0.6516670464038885,0.6616161616161617,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9097744360902256,0.6722222222222223,0.6115705931495405,0.6722222222222223,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,1.0,0.9473684210526316,0.6737967914438503,0.6383338024204898,0.6737967914438503,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0 & agecp >= 37.5,1.0,0.9097744360902256,0.5845410628019324,0.5318005157822092,0.5845410628019324,0.016666666666666666
thalcp >= 1.5 & thalachcp >= 110.0,1.0,0.9548872180451128,0.5906976744186047,0.5640496590312992,0.5906976744186047,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5,1.0,0.9172932330827068,0.5570776255707762,0.5110035362378549,0.5570776255707762,0.016666666666666666
thalcp >= 1.5,1.0,0.962406015037594,0.5638766519823789,0.5426782816071015,0.5638766519823789,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5 & oldpeakcp < 2.3499999999999996,1.0,0.9172932330827068,0.6387434554973822,0.5859150494036137,0.6387434554973822,0.016666666666666666
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,1.0,0.9548872180451128,0.6414141414141414,0.6124781651097441,0.6414141414141414,0.016666666666666666
thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.8270676691729323,0.7638888888888888,0.6317878028404343,0.7638888888888888,0.016666666666666666
oldpeakcp < 2.3499999999999996,1.0,0.9924812030075189,0.6255924170616114,0.6208887146776895,0.6255924170616114,0.016666666666666666
comcp < 1.5 & thalcp < 2.5,1.0,0.4060150375939849,0.627906976744186,0.2549396747683161,0.627906976744186,0.016666666666666666
agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7894736842105263,0.7553956834532374,0.5963650132525559,0.7553956834532374,0.016666666666666666
thalcp < 2.5,1.0,0.8345864661654135,0.7254901960784313,0.605484298982751,0.7254901960784313,0.016666666666666666
comcp < 1.5,1.0,0.4812030075187969,0.423841059602649,0.2039535925907483,0.423841059602649,0.016666666666666666
agecp >= 37.5 & thalcp < 2.5,1.0,0.7894736842105263,0.7142857142857143,0.5639097744360902,0.7142857142857143,0.016666666666666666
thalachcp >= 110.0 & thalcp < 2.5,1.0,0.8270676691729323,0.7586206896551724,0.6274306455794658,0.7586206896551724,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5,1.0,0.7819548872180451,0.7482014388489209,0.5850597717314869,0.7482014388489209,0.016666666666666666
thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.8195488721804511,0.7956204379562044,0.6520498326107239,0.7956204379562044,0.016666666666666666
thalachcp >= 110.0 & agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,1.0,0.7819548872180451,0.7878787878787878,0.6160856687172476,0.7878787878787878,0.016666666666666666
thalcp >= 1.5 & thalcp < 2.5,1.0,0.7969924812030075,0.7681159420289855,0.6121826304892666,0.7681159420289855,0.016666666666666666
thalcp >= 1.5 & agecp >= 37.5 & thalcp < 2.5,1.0,0.7518796992481203,0.7575757575757576,0.5696058327637274,0.7575757575757576,0.016666666666666666
